cik,ticker,company_name,metric,value,unit,form,fiscal_year,fiscal_period,period_end,filed_date,accession_number,taxonomy,concept,source_url
0000001800,ABT,Abbott Laboratories,gross_profit,3923000000.0,USD,10-K,2018,FY,2018-06-30,2019-02-22,0001047469-19-000624,us-gaap,GrossProfit,https://www.sec.gov/Archives/edgar/data/1800/000104746919000624/
0000001800,ABT,Abbott Laboratories,inventory,3601000000.0,USD,10-Q,2018,Q3,2017-12-31,2018-10-31,0001104659-18-065076,us-gaap,InventoryNet,https://www.sec.gov/Archives/edgar/data/1800/000110465918065076/
0000001800,ABT,Abbott Laboratories,operating_income,-242000000.0,USD,10-Q,2018,Q1,2017-03-31,2018-05-02,0001104659-18-029831,us-gaap,OperatingIncomeLoss,https://www.sec.gov/Archives/edgar/data/1800/000110465918029831/
0000001800,ABT,Abbott Laboratories,rd,564000000.0,USD,10-Q,2020,Q2,2020-06-30,2020-07-29,0001104659-20-087850,us-gaap,ResearchAndDevelopmentExpense,https://www.sec.gov/Archives/edgar/data/1800/000110465920087850/
0000001800,ABT,Abbott Laboratories,sga,2723000000.0,USD,10-Q,2024,Q3,2023-09-30,2024-10-31,0001628280-24-044602,us-gaap,SellingGeneralAndAdministrativeExpense,https://www.sec.gov/Archives/edgar/data/1800/000162828024044602/
0000006201,AAL,American,equity,-6867000000.0,USD,10-K,2021,FY,2020-12-31,2022-02-22,0000006201-22-000026,us-gaap,StockholdersEquity,https://www.sec.gov/Archives/edgar/data/6201/000000620122000026/
0000006201,AAL,American,net_income,-382000000.0,USD,10-Q,2026,Q1,2026-03-31,2026-04-23,0000006201-26-000032,us-gaap,NetIncomeLoss,https://www.sec.gov/Archives/edgar/data/6201/000000620126000032/
0000320193,AAPL,Apple,cash,35039000000.0,USD,10-Q,2021,Q3,2020-06-27,2021-07-28,0000320193-21-000065,us-gaap,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,https://www.sec.gov/Archives/edgar/data/320193/000032019321000065/
0000320193,AAPL,Apple,equity,63090000000.0,USD,10-Q,2023,Q3,2021-09-25,2023-08-04,0000320193-23-000077,us-gaap,StockholdersEquity,https://www.sec.gov/Archives/edgar/data/320193/000032019323000077/
0000320193,AAPL,Apple,equity,60274000000.0,USD,10-Q,2023,Q3,2023-07-01,2023-08-04,0000320193-23-000077,us-gaap,StockholdersEquity,https://www.sec.gov/Archives/edgar/data/320193/000032019323000077/
0000320193,AAPL,Apple,gross_profit,44867000000.0,USD,10-Q,2025,Q2,2025-03-29,2025-05-02,0000320193-25-000057,us-gaap,GrossProfit,https://www.sec.gov/Archives/edgar/data/320193/000032019325000057/
0000320193,AAPL,Apple,liabilities,285508000000.0,USD,10-K,2025,FY,2025-09-27,2025-10-31,0000320193-25-000079,us-gaap,Liabilities,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/
0001551152,ABBV,AbbVie Inc.,cash,9746000000.0,USD,10-K,2023,FY,2021-12-31,2024-02-20,0001551152-24-000011,us-gaap,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,https://www.sec.gov/Archives/edgar/data/1551152/000155115224000011/
0001551152,ABBV,AbbVie Inc.,cash,12814000000.0,USD,10-Q,2025,Q3,2023-12-31,2025-11-04,0001551152-25-000049,us-gaap,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,https://www.sec.gov/Archives/edgar/data/1551152/000155115225000049/
0001551152,ABBV,AbbVie Inc.,eps,1.81,USD/shares,10-Q,2018,Q3,2018-09-30,2018-11-07,0001551152-18-000042,us-gaap,EarningsPerShareDiluted,https://www.sec.gov/Archives/edgar/data/1551152/000155115218000042/
0001551152,ABBV,AbbVie Inc.,eps,5.28,USD/shares,10-K,2021,FY,2019-12-31,2022-02-18,0001551152-22-000007,us-gaap,EarningsPerShareDiluted,https://www.sec.gov/Archives/edgar/data/1551152/000155115222000007/
0001551152,ABBV,AbbVie Inc.,inventory,3579000000.0,USD,10-K,2022,FY,2022-12-31,2023-02-17,0001551152-23-000011,us-gaap,InventoryNet,https://www.sec.gov/Archives/edgar/data/1551152/000155115223000011/
0001551152,ABBV,AbbVie Inc.,net_income,11542000000.0,USD,10-K,2023,FY,2021-12-31,2024-02-20,0001551152-24-000011,us-gaap,NetIncomeLoss,https://www.sec.gov/Archives/edgar/data/1551152/000155115224000011/
0001551152,ABBV,AbbVie Inc.,operating_cash_flow,11758000000.0,USD,10-Q,2025,Q3,2024-09-30,2025-11-04,0001551152-25-000049,us-gaap,NetCashProvidedByUsedInOperatingActivities,https://www.sec.gov/Archives/edgar/data/1551152/000155115225000049/
0001559720,ABNB,AirBnB Class A,cash,12667000000.0,USD,10-Q,2025,Q1,2023-12-31,2025-05-01,0001559720-25-000017,us-gaap,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,https://www.sec.gov/Archives/edgar/data/1559720/000155972025000017/
0001559720,ABNB,AirBnB Class A,debt,0.0,USD,10-Q,2026,Q1,2026-03-31,2026-05-07,0001559720-26-000014,us-gaap,LongTermDebtCurrent,https://www.sec.gov/Archives/edgar/data/1559720/000155972026000014/
0001559720,ABNB,AirBnB Class A,equity,5245025000.0,USD,10-Q,2022,Q3,2022-06-30,2022-11-03,0001559720-22-000019,us-gaap,StockholdersEquity,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000019/
0001559720,ABNB,AirBnB Class A,equity,7896000000.0,USD,10-Q,2024,Q2,2024-03-31,2024-08-06,0001559720-24-000024,us-gaap,StockholdersEquity,https://www.sec.gov/Archives/edgar/data/1559720/000155972024000024/
0001559720,ABNB,AirBnB Class A,equity,5560000000.0,USD,10-Q,2024,Q3,2022-12-31,2024-11-07,0001559720-24-000032,us-gaap,StockholdersEquity,https://www.sec.gov/Archives/edgar/data/1559720/000155972024000032/
0000001800,ABT,Abbott Laboratories,debt,507000000.0,USD,10-Q,2018,Q1,2018-03-31,2018-05-02,0001104659-18-029831,us-gaap,LongTermDebtCurrent,https://www.sec.gov/Archives/edgar/data/1800/000110465918029831/
0000001800,ABT,Abbott Laboratories,debt,754000000.0,USD,10-Q,2021,Q3,2021-09-30,2021-11-03,0001104659-21-133629,us-gaap,LongTermDebtCurrent,https://www.sec.gov/Archives/edgar/data/1800/000110465921133629/
0000001800,ABT,Abbott Laboratories,debt,5000000.0,USD,10-Q,2022,Q2,2022-06-30,2022-08-02,0001628280-22-020209,us-gaap,LongTermDebtCurrent,https://www.sec.gov/Archives/edgar/data/1800/000162828022020209/
0000001800,ABT,Abbott Laboratories,gross_profit,3747000000.0,USD,10-K,2018,FY,2017-12-31,2019-02-22,0001047469-19-000624,us-gaap,GrossProfit,https://www.sec.gov/Archives/edgar/data/1800/000104746919000624/
0000001800,ABT,Abbott Laboratories,net_income,2447000000.0,USD,10-Q,2023,Q1,2022-03-31,2023-05-04,0001628280-23-015699,us-gaap,NetIncomeLoss,https://www.sec.gov/Archives/edgar/data/1800/000162828023015699/
0000001800,ABT,Abbott Laboratories,operating_cash_flow,7466000000.0,USD,10-Q,2022,Q3,2021-09-30,2022-11-01,0001628280-22-027550,us-gaap,NetCashProvidedByUsedInOperatingActivities,https://www.sec.gov/Archives/edgar/data/1800/000162828022027550/
0000001800,ABT,Abbott Laboratories,operating_income,1345000000.0,USD,10-Q,2026,Q1,2026-03-31,2026-04-29,0001628280-26-028357,us-gaap,OperatingIncomeLoss,https://www.sec.gov/Archives/edgar/data/1800/000162828026028357/
0000006201,AAL,American,cash,290000000.0,USD,10-Q,2020,Q3,2019-12-31,2020-10-22,0000006201-20-000101,us-gaap,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,https://www.sec.gov/Archives/edgar/data/6201/000000620120000101/
0000006201,AAL,American,eps,-2.52,USD/shares,10-Q,2023,Q1,2022-03-31,2023-04-27,0000006201-23-000042,us-gaap,EarningsPerShareDiluted,https://www.sec.gov/Archives/edgar/data/6201/000000620123000042/
0000006201,AAL,American,equity,-118000000.0,USD,10-Q,2020,Q3,2019-12-31,2020-10-22,0000006201-20-000101,us-gaap,StockholdersEquity,https://www.sec.gov/Archives/edgar/data/6201/000000620120000101/
0000006201,AAL,American,net_income,-8885000000.0,USD,10-K,2022,FY,2020-12-31,2023-02-22,0000006201-23-000018,us-gaap,NetIncomeLoss,https://www.sec.gov/Archives/edgar/data/6201/000000620123000018/
0000006201,AAL,American,operating_income,-2486000000.0,USD,10-K,2020,FY,2020-06-30,2021-02-17,0000006201-21-000014,us-gaap,OperatingIncomeLoss,https://www.sec.gov/Archives/edgar/data/6201/000000620121000014/
0000006201,AAL,American,revenue,3173000000.0,USD,10-K,2020,FY,2020-09-30,2021-02-17,0000006201-21-000014,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,https://www.sec.gov/Archives/edgar/data/6201/000000620121000014/
0000320193,AAPL,Apple,cash,45317000000.0,USD,10-Q,2026,Q1,2025-12-27,2026-01-30,0000320193-26-000006,us-gaap,CashAndCashEquivalentsAtCarryingValue,https://www.sec.gov/Archives/edgar/data/320193/000032019326000006/
0000320193,AAPL,Apple,liabilities,263217000000.0,USD,10-Q,2024,Q2,2024-03-30,2024-05-03,0000320193-24-000069,us-gaap,Liabilities,https://www.sec.gov/Archives/edgar/data/320193/000032019324000069/
0000320193,AAPL,Apple,net_income,10044000000.0,USD,10-Q,2020,Q3,2019-06-29,2020-07-31,0000320193-20-000062,us-gaap,NetIncomeLoss,https://www.sec.gov/Archives/edgar/data/320193/000032019320000062/
0000320193,AAPL,Apple,rd,5163000000.0,USD,10-Q,2022,Q1,2020-12-26,2022-01-28,0000320193-22-000007,us-gaap,ResearchAndDevelopmentExpense,https://www.sec.gov/Archives/edgar/data/320193/000032019322000007/
0000320193,AAPL,Apple,revenue,95359000000.0,USD,10-Q,2026,Q2,2025-03-29,2026-05-01,0000320193-26-000013,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,https://www.sec.gov/Archives/edgar/data/320193/000032019326000013/
0001551152,ABBV,AbbVie Inc.,cash,41142000000.0,USD,10-Q,2020,Q1,2020-03-31,2020-05-08,0001551152-20-000015,us-gaap,CashAndCashEquivalentsAtCarryingValue,https://www.sec.gov/Archives/edgar/data/1551152/000155115220000015/
0001551152,ABBV,AbbVie Inc.,cash,8449000000.0,USD,10-K,2023,FY,2020-12-31,2024-02-20,0001551152-24-000011,us-gaap,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,https://www.sec.gov/Archives/edgar/data/1551152/000155115224000011/
0001551152,ABBV,AbbVie Inc.,shares_outstanding,1766558253.0,shares,10-Q,2025,Q2,2025-07-29,2025-08-04,0001551152-25-000040,dei,EntityCommonStockSharesOutstanding,https://www.sec.gov/Archives/edgar/data/1551152/000155115225000040/
0001559720,ABNB,AirBnB Class A,capex,20864000.0,USD,10-Q,2021,Q3,2021-09-30,2021-11-05,0001559720-21-000017,us-gaap,PaymentsToAcquirePropertyPlantAndEquipment,https://www.sec.gov/Archives/edgar/data/1559720/000155972021000017/
0001559720,ABNB,AirBnB Class A,cash,8485581000.0,USD,10-Q,2022,Q1,2021-03-31,2022-05-09,0001559720-22-000009,us-gaap,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000009/
0001559720,ABNB,AirBnB Class A,equity,7896000000.0,USD,10-Q,2025,Q2,2024-03-31,2025-08-06,0001559720-25-000025,us-gaap,StockholdersEquity,https://www.sec.gov/Archives/edgar/data/1559720/000155972025000025/
0001559720,ABNB,AirBnB Class A,rd,610000000.0,USD,10-Q,2025,Q2,2025-06-30,2025-08-06,0001559720-25-000025,us-gaap,ResearchAndDevelopmentExpense,https://www.sec.gov/Archives/edgar/data/1559720/000155972025000025/
0001559720,ABNB,AirBnB Class A,revenue,1509000000.0,USD,10-Q,2023,Q1,2022-03-31,2023-05-09,0001559720-23-000010,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,https://www.sec.gov/Archives/edgar/data/1559720/000155972023000010/
